listing_id,brand,category,original_title,source_bullets,generated_title,generated_description,intended_flaw,human_accuracy,human_compliance,human_quality_score,human_notes
LST-0011,find.,Product,"Richter Kinderschuhe Bios, Mules Mixte Enfant Beige (Taupe Taupe) 42 EU",,WORLD'S BEST #1 GUARANTEED find. Product AMAZING CHEAP SALE!!!,Unbeatable top seller! Cures fatigue and makes you 100% smarter instantly!,policy_violation,3.0,0,1.3,Ground Truth: Prohibited superlatives and false claims violation.
LST-0012,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Autumn Girl UV Printed Soft Back Case Mobile Cover for Karbonn Aura Power 4G Plus,"Snug fit for Karbonn Aura Power 4G Plus, with perfect cut-outs for volume buttons, audio and charging ports | Compatible with Karbonn Aura Power 4G Plus | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports.",Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product EXTRA LONG TITLE FOR KEYWORD STUFFING BEST BUY NOW DISCOUNT SALE CHEAP HARDWARE,Excessive text stuffed with terms for ranking manipulation.,length_violation,3.5,0,2.2,Ground Truth: Excessive title length (>200 chars) & keyword stuffing.
LST-0013,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Water Drop On Glass UV Printed Soft Back Case Mobile Cover for Samsung Galaxy A70s,"Snug fit for Samsung Galaxy A70s, with perfect cut-outs for volume buttons, audio and charging ports | Compatible with Samsung Galaxy A70s | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports.","Amazon Brand - Solimo Product - High Quality Snug fit for Samsung Galaxy A70s, with perfect cut-outs for volume buttons, audio and charging ports",Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0014,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Cactus 3D Printed Hard Back Case Mobile Cover for Motorola Moto G4 Plus,"3D Printed Hard Back Case Mobile Cover for Motorola Moto G4 Plus | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. | Stylish design and appearance, express your unique personality.",Amazon Brand - Solimo Product - High Quality 3D Printed Hard Back Case Mobile Cover for Motorola Moto G4 Plus,Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0015,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Kitty Printed Hard Back Case Mobile Cover for Samsung Galaxy M10 (D1211),"Snug fit for Samsung Galaxy M10, with perfect cutouts for volume buttons, audio & charging ports | Stylish design and appearance, express your unique personality | High Resolution UV light-ion 3D Embossed Printing for extraordinary quality and clarity. Printed using high end advanced Japanese machines. Your get our quality promise and design excellence","Amazon Brand - Solimo Product - High Quality Snug fit for Samsung Galaxy M10, with perfect cutouts for volume buttons, audio & charging ports",Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0016,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Colored Paris 3D Printed Hard Back Case Mobile Cover for Samsung Galaxy M40,"Snug fit for Samsung Galaxy M40, with perfect cut-outs for volume buttons, audio and charging ports | Compatible with Samsung Galaxy M40 | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports.",Amazon Brand - Solimo Product crafted from 100% Pure Siberian Cashmere & Solid Gold,Luxury grade materials imported directly from outer space. Fits all standard sizes.,hallucination,1.5,1,2.0,Ground Truth: Severe hallucination of non-existent materials/specs.
LST-0017,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Desert Plant 3D Printed Hard Back Case Mobile Cover for Huawei Honor 5c,"3D Printed Hard Back Case Mobile Cover for Huawei Honor 5c | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. | Stylish design and appearance, express your unique personality.",WORLD'S BEST #1 GUARANTEED Amazon Brand - Solimo Product AMAZING CHEAP SALE!!!,Unbeatable top seller! Cures fatigue and makes you 100% smarter instantly!,policy_violation,3.0,0,1.3,Ground Truth: Prohibited superlatives and false claims violation.
LST-0018,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Photography UV Printed Soft Back Case Mobile Cover for Mi Redmi Y3,"Snug fit for Mi Redmi Y3, with perfect cut-outs for volume buttons, audio and charging ports | Compatible with Mi Redmi Y3 | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports.",Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product EXTRA LONG TITLE FOR KEYWORD STUFFING BEST BUY NOW DISCOUNT SALE CHEAP HARDWARE,Excessive text stuffed with terms for ranking manipulation.,length_violation,3.5,0,2.2,Ground Truth: Excessive title length (>200 chars) & keyword stuffing.
LST-0019,Amazon Collection(アマゾンコレクション),Product,[Amazon Collection] Amazon Collection 铂金镀白银 透明公主切割 立体 氧化锆 耳钉 双耳钉 JEE00087_120CL00QD00,素材:スターリングシルバー(プラチナメッキ加工) | 宝石:キュービックジルコニア | 機会:可愛さとエレガントさを兼ね備えたデザインはカジュアルな場面からフォーマルな場面まで幅広いシチュエーションで身に着けていただくことができます。また、上品な輝きは様々なコーディネートと調和しワンポイントアクセントとなります。大切な方への贈り物にも最適です。,Amazon Collection(アマゾンコレクション) Product - High Quality 素材:スターリングシルバー(プラチナメッキ加工),Features premium craftsmanship. Amazon Collection(アマゾンコレクション) original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0020,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Floral Printed Hard Back Case Mobile Cover for Xiaomi Redmi Note 5 (D386),"Snug fit for Xiaomi Redmi Note 5, with perfect cutouts for volume buttons, audio & charging ports | Stylish design and appearance, express your unique personality | High Resolution UV light-ion 3D Embossed Printing for extraordinary quality and clarity. Printed using high end advanced Japanese machines. Your get our quality promise and design excellence","Amazon Brand - Solimo Product - High Quality Snug fit for Xiaomi Redmi Note 5, with perfect cutouts for volume buttons, audio & charging ports",Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0021,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Horizontal Arrow Texture 3D Printed Hard Back Case Mobile Cover for Motorola Moto E 2nd Generation,"3D Printed Hard Back Case Mobile Cover for Motorola Moto E 2nd Generation | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. | Stylish design and appearance, express your unique personality.",Amazon Brand - Solimo Product - High Quality 3D Printed Hard Back Case Mobile Cover for Motorola Moto E 2nd Generation,Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0022,AmazonBasics,Product,AmazonBasics Türhebel Dezember Eingang poliertes Messing,,AmazonBasics Product crafted from 100% Pure Siberian Cashmere & Solid Gold,Luxury grade materials imported directly from outer space. Fits all standard sizes.,hallucination,1.5,1,2.0,Ground Truth: Severe hallucination of non-existent materials/specs.
LST-0023,Rivet,Product,亚利桑那沙地平线照片带木架,,WORLD'S BEST #1 GUARANTEED Rivet Product AMAZING CHEAP SALE!!!,Unbeatable top seller! Cures fatigue and makes you 100% smarter instantly!,policy_violation,3.0,0,1.3,Ground Truth: Prohibited superlatives and false claims violation.
LST-0024,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Foil Paper Texture 3D Printed Hard Back Case Mobile Cover for Vivo Y51L,"3D Printed Hard Back Case Mobile Cover for Vivo Y51L | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. | Stylish design and appearance, express your unique personality.",Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product EXTRA LONG TITLE FOR KEYWORD STUFFING BEST BUY NOW DISCOUNT SALE CHEAP HARDWARE,Excessive text stuffed with terms for ranking manipulation.,length_violation,3.5,0,2.2,Ground Truth: Excessive title length (>200 chars) & keyword stuffing.
LST-0025,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Candle Light 3D Printed Hard Back Case Mobile Cover for Oppo F5,"3D Printed Hard Back Case Mobile Cover for Oppo F5 | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. | Stylish design and appearance, express your unique personality.",Amazon Brand - Solimo Product - High Quality 3D Printed Hard Back Case Mobile Cover for Oppo F5,Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0026,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Steam Train 3D Printed Hard Back Case Mobile Cover for Samsung Galaxy M21,"Snug fit for Samsung Galaxy M21, with perfect cut-outs for volume buttons, audio and charging ports | Compatible with Samsung Galaxy M21 | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports.","Amazon Brand - Solimo Product - High Quality Snug fit for Samsung Galaxy M21, with perfect cut-outs for volume buttons, audio and charging ports",Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0027,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Love Print On Cloth Pattern 3D Printed Hard Back Case Mobile Cover for Nokia 7.1,"3D Printed Hard Back Case Mobile Cover for Nokia 7.1 | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. | Stylish design and appearance, express your unique personality.",Amazon Brand - Solimo Product - High Quality 3D Printed Hard Back Case Mobile Cover for Nokia 7.1,Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0028,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Dark Flowers Photography 3D Printed Hard Back Case Mobile Cover for Xiaomi Redmi 1S,"3D Printed Hard Back Case Mobile Cover for Xiaomi Redmi 1S | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. | Stylish design and appearance, express your unique personality.",Amazon Brand - Solimo Product crafted from 100% Pure Siberian Cashmere & Solid Gold,Luxury grade materials imported directly from outer space. Fits all standard sizes.,hallucination,1.5,1,2.0,Ground Truth: Severe hallucination of non-existent materials/specs.
LST-0029,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Black Pattern Alphabet-C 3D Printed Hard Back Case Mobile Cover for Xiaomi Redmi 8A,"Snug fit for Mobile, with perfect cut-outs for volume buttons, audio and charging ports | Compatible with Xiaomi Redmi 8A | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports.",WORLD'S BEST #1 GUARANTEED Amazon Brand - Solimo Product AMAZING CHEAP SALE!!!,Unbeatable top seller! Cures fatigue and makes you 100% smarter instantly!,policy_violation,3.0,0,1.3,Ground Truth: Prohibited superlatives and false claims violation.
LST-0030,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Orange Canvas 3D Printed Hard Back Case Mobile Cover for Nokia 6.1 Plus,"3D Printed Hard Back Case Mobile Cover for Nokia 6.1 Plus | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. | Stylish design and appearance, express your unique personality.",Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product EXTRA LONG TITLE FOR KEYWORD STUFFING BEST BUY NOW DISCOUNT SALE CHEAP HARDWARE,Excessive text stuffed with terms for ranking manipulation.,length_violation,3.5,0,2.2,Ground Truth: Excessive title length (>200 chars) & keyword stuffing.
LST-0031,AmazonBasics,Product,AmazonBasics – hoogwaardig microvezel-laken,,AmazonBasics Product - High Quality Utility,Features premium craftsmanship. AmazonBasics original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0032,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Never be Alone Printed Hard Back Case Mobile Cover for Apple iPhone XR (D1256),"Snug fit for Apple iPhone XR, with perfect cutouts for volume buttons, audio and charging ports | Stylish design and appearance, express your unique personality | High Resolution UV light-ion 3D Embossed Printing for extraordinary quality and clarity. Printed using high end advanced Japanese machines. Your get our quality promise and design excellence","Amazon Brand - Solimo Product - High Quality Snug fit for Apple iPhone XR, with perfect cutouts for volume buttons, audio and charging ports",Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0033,WaterAce,Product,"WaterAce WA50SAS Bomba de sumidero, 1/2 HP, negro",Construcción de hierro fundido resistente con volumen termoplástico. | Protección del motor de sobrecarga térmica incorporada. | Interruptor vertical; funciona en lavabos de 11 pulgadas de diámetro.,WaterAce Product - High Quality Construcción de hierro fundido resistente con volumen termoplástico.,Features premium craftsmanship. WaterAce original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0034,WellWear,Product,"WellWear Copper Back Brace, One Size",Copper-infused plush cloth interior provides antibacterial properties and heat retention to support the body's natural healing process | Contoured design for optimal fit | Fits discreetly under most clothing,WellWear Product crafted from 100% Pure Siberian Cashmere & Solid Gold,Luxury grade materials imported directly from outer space. Fits all standard sizes.,hallucination,1.5,1,2.0,Ground Truth: Severe hallucination of non-existent materials/specs.
LST-0035,find.,Product,"Amazon-merk - vinden. Archer, Heren Trainers,Kleur: wit,12 UK",Geborsteld canvas | Duurzaam binnenwerk | Geweven loopzool,WORLD'S BEST #1 GUARANTEED find. Product AMAZING CHEAP SALE!!!,Unbeatable top seller! Cures fatigue and makes you 100% smarter instantly!,policy_violation,3.0,0,1.3,Ground Truth: Prohibited superlatives and false claims violation.
LST-0036,Stanton,Product,Stanton Men's Brown Loafers-8 UK (42 EU) (9 US) (FK/YT1893/BRW),आउटर मटीरियल: PU | क्लोज़र टाइप: स्लिप ऑन | टो स्टाइल: राउंड टो,Stanton Product Stanton Product Stanton Product Stanton Product Stanton Product Stanton Product Stanton Product Stanton Product Stanton Product Stanton Product Stanton Product Stanton Product EXTRA LONG TITLE FOR KEYWORD STUFFING BEST BUY NOW DISCOUNT SALE CHEAP HARDWARE,Excessive text stuffed with terms for ranking manipulation.,length_violation,3.5,0,2.2,Ground Truth: Excessive title length (>200 chars) & keyword stuffing.
LST-0037,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Lion UV Printed Soft Back Case Mobile Cover for Huawei Honor 7A,"Snug fit for Huawei Honor 7A, with perfect cut-outs for volume buttons, audio and charging ports | Compatible with Huawei Honor 7A | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports.","Amazon Brand - Solimo Product - High Quality Snug fit for Huawei Honor 7A, with perfect cut-outs for volume buttons, audio and charging ports",Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0038,UMI,Product,"UMI Merryfeel Microfiber Duvet Cover Set,Lightweight and Soft Bedding Set (8 Sizes,12 Colours)(200x200+2x80x80cm,Pink)","Incluye: 1 funda de edredón de 135 x 200 cm y 1 funda de almohada de 80 x 80 cm (135 x 200 cm + 1 x 80 x 80 cm). | El tejido de poliéster ligero proporciona una suavidad excepcional, nuestro juego de edredón Umi cuenta con costuras de alta calidad para limpiar, elegante y clásico. | Funda nórdica con cierre de cremallera YKK y 4 lazos en las esquinas para mantener el edredón en su lugar, funda de almohada con apertura de sobre.",UMI Product - High Quality Incluye: 1 funda de edredón de 135 x 200 cm y 1 funda de almohada de 80 x 80 cm (135 x 200 cm + 1 x 80 x 80 cm).,Features premium craftsmanship. UMI original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0039,AmazonBasics,Product,AmazonBasics 亚马逊倍思 可调节扬声器支架,三脚架扬声器支架，便于设置扬声器；非常适合在舞台、工作室或家里使用 | 100 磅最大重量能力；可调节高度（3.8 至 6 英尺），可将声音放在您想要的位置 | 采用耐用的钢管结构，强度可靠；上轴直径为 35 毫米,AmazonBasics Product - High Quality 三脚架扬声器支架，便于设置扬声器；非常适合在舞台、工作室或家里使用,Features premium craftsmanship. AmazonBasics original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0040,The Fix,Product,"THE FIX 女式 foley 流苏一脚蹬凉鞋, 米色, 6.5 B(M) US",menswear-inspired Fransen schmücken das Leder Slide Sandale mit minimalistischen Ferse. | Bright metallic tassels gleam against an earthy suede upper in this luxe slide sandal with minimalist heel. | Slip-on closure,The Fix Product crafted from 100% Pure Siberian Cashmere & Solid Gold,Luxury grade materials imported directly from outer space. Fits all standard sizes.,hallucination,1.5,1,2.0,Ground Truth: Severe hallucination of non-existent materials/specs.
LST-0041,AmazonBasics,Product,"AmazonBasics Eastlake Coolers Glass Drinkware Set, 15-Ounce, Set of 6","Lead-free glass: made of crystal-clear, lead-free glass for stunning clarity; keeps its shine through many washings; beautifully showcases beverages and adds a touch of glamour to any gathering | Versatile: suitable for special occasions and everyday use; ideal for serving both mixed drinks and non-alcoholic beverages, like freshly squeezed lemonade, iced tea, water, soda, juice, and more | Contemporary style: sleek silhouette with gently curved sides and an exaggerated sham for extra stability and eye-catching allure",WORLD'S BEST #1 GUARANTEED AmazonBasics Product AMAZING CHEAP SALE!!!,Unbeatable top seller! Cures fatigue and makes you 100% smarter instantly!,policy_violation,3.0,0,1.3,Ground Truth: Prohibited superlatives and false claims violation.
LST-0042,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Wooden Design 3D Printed Hard Back Case Mobile Cover for Coolpad Note 5,"Snug fit for Mobile, with perfect cut-outs for volume buttons, audio and charging ports | Compatible with Coolpad Note 5 | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports.",Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product EXTRA LONG TITLE FOR KEYWORD STUFFING BEST BUY NOW DISCOUNT SALE CHEAP HARDWARE,Excessive text stuffed with terms for ranking manipulation.,length_violation,3.5,0,2.2,Ground Truth: Excessive title length (>200 chars) & keyword stuffing.
LST-0043,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Sparkle Girl Boss 3D Printed Hard Back Case Mobile Cover for Vivo Y69,"3D Printed Hard Back Case Mobile Cover for Vivo Y69 | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. | Stylish design and appearance, express your unique personality.",Amazon Brand - Solimo Product - High Quality 3D Printed Hard Back Case Mobile Cover for Vivo Y69,Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0044,AmazonBasics,Product,Amazonbasics On-Ear Wireless Bluetooth Headphones with Microphone - Champagne,"Wireless headphones with compatible with Bluetooth 5.0 devices | Listen to music, news, or podcasts; take calls with the built-in microphone | Quality speakers with ultra-soft polyurethane and foam earphones; keeps ears comfortably cushioned",AmazonBasics Product - High Quality Wireless headphones with compatible with Bluetooth 5.0 devices,Features premium craftsmanship. AmazonBasics original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0045,Amazon Brand - Solimo,Product,Amazon Brand - Solimo വാക്സ് ടീലൈറ്റ് അൺസീറ്റഡ് മെഴുകുതിരി (50 എണ്ണത്തിന്‍റെ സെറ്റ്),"സുഗന്ധമുള്ള വാക്സ് ടീലൈറ്റ് മെഴുകുതിരികളുടെ 50 സെറ്റ് | ഒരു ശരാശരി ഈ മെഴുകുതിരികൾ 2 മണിക്കൂർ വരെയും 45 മിനിറ്റ് വരെയും കത്തുന്നു | ഈ മെഴുകുതിരികൾ പുകവലിക്കാത്തതും, ഗന്ധമില്ലാത്തതുമാണ്, മാത്രമല്ല പാടുകളും അവശിഷ്ടങ്ങളും അവശേഷിപ്പിക്കുന്നില്ല",Amazon Brand - Solimo Product - High Quality സുഗന്ധമുള്ള വാക്സ് ടീലൈറ്റ് മെഴുകുതിരികളുടെ 50 സെറ്റ്,Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
